Transaction_Time,Open,High,Low,Close,Volume,Ticker,Log_Return,Volatility_20m,Price_Gap,RSI_14m,Risk_Limit_USD,Entry_Price,Exit_Price,Trade_PnL,Slippage_USD,Cum_PnL,Peak,Drawdown
2026-04-06 18:53:00-04:00,4686.200195,4686.299805,4684.299805,4685,17,GC=F,-0.000149444,0.000147699,0.5,34.99969481,500,4686.200195,4685,-120.0195313,0.183338654,-849.4140625,6330.322266,-7179.736328
2026-04-06 18:54:00-04:00,4684.299805,4684.399902,4683.600098,4684.299805,8,GC=F,-0.000149466,0.000150153,-0.700195313,28.91516649,500,4684.299805,4684.299805,0,0.155123488,-849.4140625,6330.322266,-7179.736328
2026-04-06 18:54:00-04:00,6644.25,6645.25,6644.25,6644.5,73,ES=F,0,0.000135966,-0.25,37.5,500,6644.25,6644.5,25,0.494475075,2975,4375,-1400
2026-04-06 18:54:00-04:00,110.84375,110.84375,110.828125,110.828125,220,ZN=F,-0.000140974,7.79E-05,0,50,500,110.84375,110.828125,-1.5625,0.124827516,39.0625,46.875,-7.8125
2026-04-06 18:55:00-04:00,4684.200195,4684.200195,4684.200195,4684.200195,1,GC=F,-2.13E-05,0.000143958,-0.099609375,30.76874922,500,4684.200195,4684.200195,0,0.068941935,-849.4140625,6330.322266,-7179.736328
2026-04-06 18:55:00-04:00,110.828125,110.84375,110.828125,110.84375,313,ZN=F,0.000140974,7.79E-05,0,66.66666667,500,110.828125,110.84375,1.5625,0.382115127,40.625,46.875,-6.25
2026-04-06 18:55:00-04:00,6644.5,6645.25,6644.25,6645,56,ES=F,7.52E-05,0.000118952,0,35.48387097,500,6644.5,6645,50,0.24249791,3025,4375,-1350
2026-04-06 18:56:00-04:00,6644.5,6644.5,6642.5,6643,174,ES=F,-0.000301023,0.000135966,-0.5,30.55555556,500,6644.5,6643,-150,0.222946991,2875,4375,-1500
2026-04-06 18:56:00-04:00,4683.799805,4684.299805,4683.299805,4683.799805,15,GC=F,-8.55E-05,0.000142283,-0.400390625,28.39662447,500,4683.799805,4683.799805,0,0.058043271,-849.4140625,6330.322266,-7179.736328
2026-04-06 18:57:00-04:00,4683.5,4684.200195,4683.100098,4684.200195,4,GC=F,8.55E-05,0.000131103,-0.299804688,34.17995303,500,4683.5,4684.200195,70.01953125,0.494475075,-779.3945313,6330.322266,-7109.716797
2026-04-06 18:57:00-04:00,110.84375,110.84375,110.84375,110.84375,32,ZN=F,0,6.90E-05,0,66.66666667,500,110.84375,110.84375,0,0.087259401,40.625,46.875,-6.25
2026-04-06 18:57:00-04:00,6643.25,6643.75,6642.75,6643.75,75,ES=F,0.000112894,0.000127704,0.25,35.8974359,500,6643.25,6643.75,50,0.355841277,2925,4375,-1450
2026-04-06 18:58:00-04:00,6643.5,6643.75,6643.25,6643.75,30,ES=F,0,0.00012572,-0.25,35.8974359,500,6643.5,6643.75,25,0.14821425,2950,4375,-1425
2026-04-06 18:58:00-04:00,110.84375,110.84375,110.84375,110.84375,3,ZN=F,0,6.30E-05,0,66.66666667,500,110.84375,110.84375,0,0.321418449,40.625,46.875,-6.25
2026-04-06 18:58:00-04:00,4684.399902,4684.799805,4684.399902,4684.700195,3,GC=F,0.000106736,0.000131051,0.199707031,41.56099417,500,4684.399902,4684.700195,30.02929688,0.24249791,-749.3652344,6330.322266,-7079.6875
2026-04-06 18:59:00-04:00,4684.700195,4685.100098,4684.700195,4685.100098,3,GC=F,8.54E-05,0.000131053,0,34.78383924,500,4684.700195,4685.100098,39.99023438,0.222946991,-709.375,6330.322266,-7039.697266
2026-04-06 18:59:00-04:00,6643.75,6644,6643.25,6643.25,49,ES=F,-7.53E-05,0.000124769,0,35.8974359,500,6643.75,6643.25,-50,0.477482533,2900,4375,-1475
2026-04-06 18:59:00-04:00,110.84375,110.84375,110.828125,110.828125,102,ZN=F,-0.000140974,7.20E-05,0,50,500,110.84375,110.828125,-1.5625,0.160407099,39.0625,46.875,-7.8125
2026-04-06 19:00:00-04:00,4684.899902,4685,4683.399902,4683.399902,35,GC=F,-0.00036296,0.000148455,-0.200195313,24.39271255,500,4684.899902,4683.399902,-150,0.355841277,-859.375,6330.322266,-7189.697266
2026-04-06 19:00:00-04:00,6643.25,6644,6643,6644,69,ES=F,0.00011289,0.000124771,0,39.02439024,500,6643.25,6644,75,0.403855256,2975,4375,-1400
2026-04-06 19:00:00-04:00,110.828125,110.828125,110.828125,110.828125,1,ZN=F,0,7.20E-05,0,50,500,110.828125,110.828125,0,0.225183026,39.0625,46.875,-7.8125
2026-04-06 19:01:00-04:00,6643.75,6645.75,6643.5,6645.5,136,ES=F,0.000225742,0.000133304,-0.25,47.82608696,500,6643.75,6645.5,175,0.090234951,3150,4375,-1225
2026-04-06 19:01:00-04:00,110.828125,110.828125,110.828125,110.828125,4,ZN=F,0,6.47E-05,0,50,500,110.828125,110.828125,0,0.179912182,39.0625,46.875,-7.8125
2026-04-06 19:01:00-04:00,4684.299805,4685.899902,4684.299805,4685.899902,18,GC=F,0.000533658,0.000195664,0.899902344,43.270269,500,4684.299805,4685.899902,160.0097656,0.14821425,-699.3652344,6330.322266,-7029.6875
2026-04-06 19:02:00-04:00,4685,4685,4684.5,4684.5,12,GC=F,-0.000298792,0.000205481,-0.899902344,34.23506642,500,4685,4684.5,-50,0.477482533,-749.3652344,6330.322266,-7079.6875
2026-04-06 19:02:00-04:00,110.828125,110.828125,110.828125,110.828125,2,ZN=F,0,6.47E-05,0,50,500,110.828125,110.828125,0,0.210052722,39.0625,46.875,-7.8125
2026-04-06 19:02:00-04:00,6645.5,6645.5,6644,6644.25,66,ES=F,-0.000188115,0.00013727,0,40.81632653,500,6645.5,6644.25,-125,0.237911349,3025,4375,-1350
2026-04-06 19:03:00-04:00,6644,6644.75,6643.5,6643.5,59,ES=F,-0.000112886,0.000138849,-0.25,39.21568627,500,6644,6643.5,-50,0.445603238,2975,4375,-1400
2026-04-06 19:03:00-04:00,110.84375,110.84375,110.84375,110.84375,51,ZN=F,0.000140974,7.20E-05,0.015625,50,500,110.84375,110.84375,0,0.373570657,39.0625,46.875,-7.8125
2026-04-06 19:03:00-04:00,4685.100098,4685.399902,4685.100098,4685.399902,6,GC=F,0.000192084,0.000209857,0.600097656,40.17026249,500,4685.100098,4685.399902,29.98046875,0.403855256,-719.3847656,6330.322266,-7049.707031
2026-04-06 19:04:00-04:00,110.84375,110.84375,110.84375,110.84375,1,ZN=F,0,7.20E-05,0,50,500,110.84375,110.84375,0,0.183704772,39.0625,46.875,-7.8125
2026-04-06 19:04:00-04:00,4685.700195,4685.799805,4685.700195,4685.799805,5,GC=F,8.53E-05,0.000208437,0.300292969,42.49908451,500,4685.700195,4685.799805,9.9609375,0.090234951,-709.4238281,6330.322266,-7039.746094
2026-04-06 19:04:00-04:00,6644.25,6645.25,6644.25,6645.25,35,ES=F,0.000263381,0.000152883,0.75,40.38461538,500,6644.25,6645.25,100,0.47512941,3075,4375,-1300
2026-04-06 19:05:00-04:00,110.84375,110.84375,110.84375,110.84375,13,ZN=F,0,7.20E-05,0,50,500,110.84375,110.84375,0,0.304882088,39.0625,46.875,-7.8125
2026-04-06 19:05:00-04:00,6645.5,6646.25,6645.5,6645.75,145,ES=F,7.52E-05,0.000153176,0.25,46.93877551,500,6645.5,6645.75,25,0.26033068,3100,4375,-1275
2026-04-06 19:05:00-04:00,4686.899902,4687.899902,4686.700195,4686.700195,15,GC=F,0.000192135,0.000204725,1.100097656,51.72573449,500,4686.899902,4686.700195,-19.97070313,0.237911349,-729.3945313,6330.322266,-7059.716797
